electronegativity	d orbital of metal	group	radius/pm	first ionization energy	1V-ORR (DFT)	2V-ORR (DFT)	
1.55	5	7	197	7.168	-2.32563	-1.62583	
1.54	2	4	187	6.578	-2.00566	-2.17053	
1.83	6	8	194	7.591	-1.96369	-1.14859	
1.63	3	5	179	6.501	-2.38032	-2.48429	
2.2	8	10	202	8.035	-1.08564	-0.56754	
1.88	7	9	192	7.581	-1.93959	-1.00668	
1.66	5	6	189	6.524	-2.09	-2.09323	
2.16	5	6	209	6.848	-2.05538	-2.43275	
2.2	7	8	207	7.103	-1.66414	-1.50019	
1.91	8	10	163	7.362	-1.41642	-0.67515	
1.9	10	11	140	7.45	-1.33935	-1.52238	
1.93	10	11	172	7.305	-1.0282	-1.56208	
2.28	9	10	209	8.681	-1.45779	-0.7132	
2.54	10	11	166	8.893	-1.5793	-1.59704	
							
							
							
							
							
							
							
							
							
							
							
							
